,STATION,NAME,DATE,ACMH,ACSH,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT21,WT22,WV01
27,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-01-28,90.0,80.0,,,,0.0,0.0,0.0,,40,31,,160.0,,,,,,13.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,
28,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-01-29,100.0,100.0,,,,0.0,0.0,0.0,,49,40,,190.0,,,,,,15.0,,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,
29,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-01-30,50.0,60.0,,,,0.0,0.0,0.0,,47,24,,320.0,,,,,,25.1,,,,,,,,,,,,,,,,,,,,,,,
30,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-01-31,10.0,0.0,,,,0.0,0.0,0.0,,36,22,,320.0,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,
31,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-02-01,30.0,50.0,,,,0.0,0.0,0.0,,48,34,,260.0,,,,,,21.9,,,,,,,,,,,,,,,,,,,,,,,
32,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-02-02,90.0,100.0,,,,0.11,0.0,0.0,,49,36,,160.0,,,,,,32.0,,,,,1.0,1.0,,,,,,1.0,,,,,,1.0,,,,,
33,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-02-03,100.0,100.0,,,,1.12,0.4,0.0,,50,24,,310.0,,,,,,21.9,,,,,1.0,1.0,,1.0,,1.0,,,,,,,,1.0,,1.0,,,
34,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-02-04,20.0,0.0,,,,0.14,0.6,1.0,,24,13,,310.0,,,,,,31.1,,,,,1.0,,,,,1.0,,,1.0,,,,,,,1.0,,,
35,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-02-05,80.0,90.0,,,,0.0,0.0,1.0,,36,14,,160.0,,,,,,16.1,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,,
36,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-02-06,100.0,100.0,,,,0.0,0.0,0.0,,37,32,,220.0,,,,,,8.1,,,,,,,,,,,,1.0,,,,,,,,1.0,,,
37,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-02-07,30.0,0.0,,,,0.0,0.0,0.0,,42,30,,30.0,,,,,,8.9,,,,,,,,,,,,1.0,,,,,,,,,,,
38,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-02-08,70.0,80.0,,,,0.0,0.0,0.0,,39,29,,280.0,,,,,,6.9,,,,,,,,,,,,1.0,,,,,,,,,,,
39,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-02-09,100.0,100.0,,,,0.0,0.0,0.0,,41,33,,70.0,,,,,,15.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,
40,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-02-10,100.0,100.0,,,,1.51,0.0,0.0,,46,37,,100.0,,,,,,40.9,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,
41,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-02-11,100.0,90.0,,,,0.0,0.0,0.0,,45,36,,270.0,,,,,,30.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
42,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-02-12,40.0,30.0,,,,0.0,0.0,0.0,,37,30,,270.0,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,
43,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-02-13,50.0,50.0,,,,0.0,0.0,0.0,,32,22,,290.0,,,,,,23.9,,,,,,,,,,,,,1.0,,,,,,,1.0,,,
44,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-02-14,70.0,90.0,,,,0.11,1.6,0.0,,24,17,,60.0,,,,,,15.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,,
45,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-02-15,100.0,100.0,,,,0.34,2.7,3.0,,35,24,,270.0,,,,,,17.9,,,,,1.0,,,1.0,,1.0,,1.0,,,,,,1.0,,1.0,,,
46,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-02-16,90.0,80.0,,,,0.0,0.0,2.0,,35,29,,330.0,,,,,,21.0,,,,,,,,,,,,1.0,,,,,,,,,,,
47,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-02-17,80.0,80.0,,,,0.0,0.0,0.0,,39,27,,30.0,,,,,,15.0,,,,,,,,,,,,1.0,,,,,,,,,,,
48,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-02-18,60.0,50.0,,,,0.0,0.0,0.0,,41,29,,200.0,,,,,,21.9,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,
49,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-02-19,50.0,60.0,,,,0.0,0.0,0.0,,48,27,,320.0,,,,,,23.9,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,
50,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-02-20,10.0,30.0,,,,0.0,0.0,0.0,,34,21,,300.0,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,
51,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-02-21,30.0,40.0,,,,0.0,0.0,0.0,,34,22,,270.0,,,,,,25.1,,,,,,,,,,,,,,,,,,,,,,,
52,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-02-22,40.0,10.0,,,,0.0,0.0,0.0,,54,31,,310.0,,,,,,31.1,,,,,,,,,,,,,,,,,,1.0,,,,,
53,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-02-23,10.0,10.0,,,,0.0,0.0,0.0,,44,29,,310.0,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,
54,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-02-24,20.0,40.0,,,,0.0,0.0,0.0,,52,27,,240.0,,,,,,21.9,,,,,,,,,,,,,,,,,,,,,,,
55,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-02-25,70.0,60.0,,,,0.0,0.0,0.0,,54,20,,330.0,,,,,,30.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,
56,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-02-26,0.0,0.0,,,,0.0,0.0,0.0,,25,13,,340.0,,,,,,23.9,,,,,,,,,,,,,,,,,,,,,,,
57,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-02-27,70.0,80.0,,,,0.0,0.0,0.0,,39,24,,170.0,,,,,,21.9,,,,,,,,,,,,,,,,,,,,,,,
58,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-02-28,20.0,20.0,,,,0.0,0.0,0.0,,40,30,,330.0,,,,,,23.9,,,,,,,,,,,,,,,,,,,,,,,
59,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-03-01,40.0,20.0,,,,0.0,0.0,0.0,,36,25,,180.0,,,,,,16.1,,,,,,,,,,,,1.0,,,,,,,,,,,
60,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-03-02,100.0,100.0,,,,0.0,0.0,0.0,,45,33,,50.0,,,,,,17.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,,
61,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-03-03,90.0,70.0,,,,0.0,0.0,0.0,,42,32,,50.0,,,,,,14.1,,,,,,,,,,,,1.0,,,,,,,,,,,
62,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-03-04,100.0,100.0,,,,0.44,0.0,0.0,,37,35,,120.0,,,,,,17.0,,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,
63,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-03-05,90.0,90.0,,,,0.01,0.0,0.0,,50,35,,360.0,,,,,,17.9,,,,,1.0,1.0,,,,,,1.0,,,,,,1.0,,,,,
64,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-03-06,90.0,100.0,,,,0.0,0.0,0.0,,41,34,,360.0,,,,,,21.0,,,,,,,,,,,,,,,,,,1.0,,,,,
65,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-03-07,60.0,60.0,,,,0.0,0.0,0.0,,45,30,,280.0,,,,,,19.9,,,,,,,,,,,,1.0,,,,,,1.0,,,,,
66,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-03-08,20.0,10.0,,,,0.0,0.0,0.0,,40,25,,300.0,,,,,,23.9,,,,,,,,,,,,,,,,,,,,,,,
